Alias,IATA,lat,lon,id
Enugu,ENU,6.47427,7.56196,252
Ibadan,IBA,7.36246,3.97833,253
Ilorin,ILR,8.44021,4.49392,254
Jos,JOS,9.63983,8.86905,255
Kaduna,KAD,10.696,7.32011,256
Kano,KAN,12.0476,8.52462,257
Maiduguri,MIU,11.8553,13.0809,258
Makurdi,MDI,7.70388,8.61394,259
Lagos,LOS,6.57737,3.32116,260
Minna,MXJ,9.65217,6.46226,261
Port Hartcourt,PHC,5.01549,6.94959,262
Sokoto,SKO,12.9163,5.20719,263
Yola,YOL,9.25755,12.4304,264
Zaria,ZAR,11.1302,7.68581,265
Maradi,MFQ,13.5025,7.12675,266
Niamey,NIM,13.4815,2.18361,267
Tahoua,THZ,14.8757,5.26536,268
Agadez,AJY,16.966,8.00011,269
Zinder,ZND,13.779,8.98376,270
Monastir,MIR,35.7581,10.7547,271
Tunis,TUN,36.851,10.2272,272
Gafsa,GAF,34.422,8.8225,273
Gabes,GAE,33.8769,10.1033,274
Djerba,DJE,33.875,10.7755,275
El Borma,EBM,31.7043,9.25462,276
Sfax,SFA,34.718,10.691,277
Tozeur,TOE,33.9397,8.11056,278
Niatougou,LRL,9.76733,1.09125,279
Lome,LFW,6.16561,1.25451,280
Antwerp,ANR,51.1894,4.46028,281
Brussels,BRU,50.9014,4.48444,282
Charleroi,CRL,50.4592,4.45382,283
Kortrijk-vevelgem,KJK,50.8172,3.20472,284
Liege,LGG,50.6374,5.44322,285
Ostend,OST,51.1989,2.86222,286
Zoersel,OBL,51.2647,4.75333,287
Altenburg,AOC,50.981945,12.506389,288
Riesa,IES,51.29361,13.356111,289
Rechlin-laerz,REB,53.30639,12.752222,290
Schoenhagen,QXH,52.20361,13.156389,291
Barth,BBH,54.338253,12.710515,292
Magdeburg,ZMG,52.073612,11.626389,293
Cottbus,CBU,51.889442,14.531944,294
Berlin,SXF,52.38,13.5225,295
Dresden,DRS,51.1328,13.7672,296
Erfurt,ERF,50.9798,10.9581,297
Frankfurt,FRA,50.033333,8.570556,298
Munster,FMO,52.1346,7.68483,299
Hamburg,HAM,53.6304,9.98823,300
Berlin,THF,52.473,13.4039,301
Cologne,CGN,50.8659,7.14274,302
Duesseldorf,DUS,51.2895,6.76678,303
Munich,MUC,48.3538,11.7861,304
Nuernberg,NUE,49.4987,11.078056,305
Leipzig,LEJ,51.42389,12.236389,306
Saarbruecken,SCN,49.2146,7.10951,307
Stuttgart,STR,48.6899,9.22196,308
Berlin,TXL,52.5597,13.2877,309
Hannover,HAJ,52.4611,9.68508,310
Bremen,BRE,53.0475,8.78667,311
Egelsbach,QEF,49.96,8.645833,312
Hahn,HHN,49.9487,7.26389,313
Mannheim,MHG,49.473057,8.514167,314
Eisenach,EIB,50.991604,10.47973,315
Siegerland,SGE,50.7077,8.08297,316
Hamburg,XFW,53.53528,9.835556,317
Kiel,KEL,54.379444,10.145278,318
Luebeck,LBC,53.8054,10.7192,319
Essen,ESS,51.4023,6.93733,320
Bielefeld,BFE,51.96472,8.544444,321
Moenchengladbach,MGL,51.230278,6.504444,322
Paderborn,PAD,51.6141,8.61632,323
Dortmund,DTM,51.5183,7.61224,324
Augsburg,AGB,48.425278,10.931667,325
Oberpfaffenhofen,OBF,48.0814,11.2831,326
Straubing,RBM,48.900833,12.516667,327
Friedrichshafen,FDH,47.6713,9.51149,328
Parchim,SZW,53.427,11.7834,329
Bayreuth,BYU,49.985,11.64,330
Burg Feuerstein,URD,49.794167,11.133611,331
Hof,HOQ,50.288612,11.856389,332
Zweibruecken,ZQW,49.2094,7.40056,333
Donaueschingen,ZQL,47.97333,8.522222,334
Braunschweig,BWE,52.3192,10.5561,335
Kassel,KSF,51.417274,9.384967,336
Bremerhaven,BRV,53.506943,8.572778,337
Emden,EME,53.39111,7.2275,338
Wilhelmshaven,WVN,53.50222,8.052222,339
Borkum,BMK,53.59639,6.709167,340
Norderney,NRD,53.706944,7.23,341
Flensburg,FLF,54.773335,9.378889,342
Westerland,GWT,54.9132,8.34047,343
Kardla,KDL,58.9908,22.8307,344
Kuressaare,URE,58.2299,22.5095,345
Parnu,EPU,58.419,24.4728,346
Tallinn-ulemiste International,TLL,59.4133,24.8328,347
Tartu,TAY,58.3075,26.6904,348
Enontekio,ENF,68.3626,23.4243,349
Halli,KEV,61.856037,24.786686,350
Helsinki,HEM,60.2546,25.0428,351
Helsinki,HEL,60.3172,24.9633,352
Hyvinkaa,HYV,60.6544,24.8811,353
Kitee,KTQ,62.1661,30.0736,354
Ivalo,IVL,68.6073,27.4053,355
Joensuu,JOE,62.6629,29.6075,356
Jyvaskyla,JYV,62.3995,25.6783,357
Kauhava,KAU,63.1271,23.0514,358
Kemi,KEM,65.7787,24.5821,359
Kajaani,KAJ,64.2855,27.6924,360
Kauhajoki,KHJ,62.4625,22.3931,361
Kruunupyy,KOK,63.7212,23.1431,362
Kuusamo,KAO,65.9876,29.2394,363
Kittila,KTT,67.701,24.8468,364
Kuopio,KUO,63.0071,27.7978,365
Vesivehmaa,QLF,61.1442,25.6935,366
Lappeenranta,LPP,61.0446,28.144743,367
Mariehamn,MHQ,60.1222,19.8982,368
Mikkeli,MIK,61.6866,27.2018,369
Oulu,OUL,64.9301,25.3546,370
Pori,POR,61.4617,21.8,371
Rovaniemi,RVN,66.5648,25.8304,372
Savonlinna,SVL,61.9431,28.9451,373
Sodankyla,SOT,67.395,26.6191,374
Tampere,TMP,61.4141,23.6044,375
Turku,TKU,60.5141,22.2628,376
Utti,UTI,60.8964,26.9384,377
Vaasa,VAA,63.0507,21.7622,378
Varkaus,VRK,62.1711,27.8686,379
Ylivieska-raudaskyla,YLI,64.054726,24.725277,380
Belfast,BFS,54.6575,-6.21583,381
Enniskillen,ENK,54.3989,-7.65167,382
Belfast,BHD,54.6181,-5.8725,383
Londonderry,LDY,55.0428,-7.16111,384
Birmingham,BHX,52.4539,-1.74803,385
Coventry,CVT,52.3697,-1.47972,386
Golouchestershire,GLO,51.8942,-2.16722,387
Pailton,GBA,51.668095,-2.05694,388
Manchester,MAN,53.3537,-2.27495,389
Newquai,NQY,50.4406,-4.99541,390
Lyneham,LYE,51.5051,-1.99343,391
Yeovilton,YEO,51.0094,-2.63882,392
Haverfordwest,HAW,51.8331,-4.96111,393
Cardiff,CWL,51.3967,-3.34333,394
Swansea,SWS,51.6053,-4.06783,395
Bristol,BRS,51.3827,-2.71909,396
